animal_name,class_type,class_name
aardvark,1,Mammal
antelope,1,Mammal
bass,4,Fish
bear,1,Mammal
boar,1,Mammal
buffalo,1,Mammal
calf,1,Mammal
carp,4,Fish
catfish,4,Fish
cavy,1,Mammal
cheetah,1,Mammal
chicken,2,Bird
chub,4,Fish
clam,7,Invertebrate
crab,7,Invertebrate
crayfish,7,Invertebrate
crow,2,Bird
deer,1,Mammal
dogfish,4,Fish
dolphin,1,Mammal
dove,2,Bird
duck,2,Bird
elephant,1,Mammal
flamingo,2,Bird
flea,6,Bug
frog,5,Amphibian
frog,5,Amphibian
fruitbat,1,Mammal
giraffe,1,Mammal
gnat,6,Bug
goat,1,Mammal
gorilla,1,Mammal
gull,2,Bird
haddock,4,Fish
hamster,1,Mammal
hare,1,Mammal
hawk,2,Bird
herring,4,Fish
honeybee,6,Bug
housefly,6,Bug
kiwi,2,Bird
ladybird,6,Bug
lark,2,Bird
leopard,1,Mammal
lion,1,Mammal
lobster,7,Invertebrate
lynx,1,Mammal
mink,1,Mammal
mole,1,Mammal
mongoose,1,Mammal
moth,6,Bug
newt,5,Amphibian
octopus,7,Invertebrate
opossum,1,Mammal
oryx,1,Mammal
ostrich,2,Bird
parakeet,2,Bird
penguin,2,Bird
pheasant,2,Bird
pike,4,Fish
piranha,4,Fish
pitviper,3,Reptile
platypus,1,Mammal
polecat,1,Mammal
pony,1,Mammal
porpoise,1,Mammal
puma,1,Mammal
pussycat,1,Mammal
raccoon,1,Mammal
reindeer,1,Mammal
rhea,2,Bird
scorpion,7,Invertebrate
seahorse,4,Fish
seal,1,Mammal
sealion,1,Mammal
seasnake,3,Reptile
seawasp,7,Invertebrate
skimmer,2,Bird
skua,2,Bird
slowworm,3,Reptile
slug,7,Invertebrate
sole,4,Fish
sparrow,2,Bird
squirrel,1,Mammal
starfish,7,Invertebrate
stingray,4,Fish
swan,2,Bird
termite,6,Bug
toad,5,Amphibian
tortoise,3,Reptile
tuatara,3,Reptile
tuna,4,Fish
vampire,1,Mammal
vole,1,Mammal
vulture,2,Bird
wallaby,1,Mammal
wasp,6,Bug
wolf,1,Mammal
worm,7,Invertebrate
wren,2,Bird
